inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,4,334,16,293,2024-06-24
2,1,5,473,50,971,2025-08-10
3,1,5,152,42,258,2026-02-26
4,2,5,260,17,746,2024-09-26
5,3,5,108,39,628,2024-12-13
6,4,5,313,38,877,2026-01-17
7,4,1,47,38,475,2026-01-15
8,5,2,116,46,614,2025-10-30
9,5,3,127,38,567,2025-01-24
10,6,5,143,28,997,2026-02-13
11,7,3,378,22,383,2025-05-13
12,8,5,490,26,708,2024-08-20
13,9,2,438,38,744,2026-01-24
14,9,5,146,44,974,2024-05-26
15,10,4,193,41,408,2025-03-10
16,11,2,455,20,569,2024-06-26
17,11,2,383,31,674,2025-08-24
18,12,4,370,38,834,2024-09-23
19,12,1,151,33,317,2025-08-09
20,13,4,431,33,568,2026-02-13
21,13,3,158,24,940,2025-05-19
22,14,2,21,12,863,2025-10-19
23,14,2,256,35,307,2025-05-08
24,15,5,147,10,617,2025-05-10
25,16,1,471,31,714,2026-01-12
26,16,5,437,38,830,2024-07-03
27,16,1,351,45,945,2025-09-20
28,17,2,49,15,922,2025-11-19
29,17,4,412,24,293,2025-01-13
30,18,1,440,39,533,2025-03-05
31,18,1,330,22,466,2024-05-20
32,19,2,20,47,960,2025-12-18
33,19,3,267,39,604,2024-04-26
34,20,4,331,44,444,2025-12-28
35,20,4,216,25,445,2024-10-23
